0.62;0.06
0.62;0.06
6.07;0.53
11.53;0.95
16.98;1.34
22.44;1.69
27.89;2.00
33.35;2.29
38.80;2.55
44.26;2.78
49.71;2.99
55.17;3.18
60.62;3.35
66.07;3.51
71.53;3.65
76.98;3.78
82.44;3.90
87.89;4.00
93.35;4.10
98.80;4.18
104.26;4.26
109.71;4.33
115.17;4.39
120.62;4.45
126.07;4.50
131.53;4.55
136.98;4.59
142.44;4.63
147.89;4.67
153.35;4.70
158.80;4.73
164.26;4.75
169.71;4.78
175.17;4.80
180.62;4.82
186.07;4.84
191.53;4.85
196.98;4.86
202.44;4.88
207.89;4.89
213.35;4.90
218.80;4.91
224.26;4.92
229.71;4.93
235.17;4.93
240.62;4.94
246.07;4.95
251.53;4.95
256.98;4.96
262.44;4.96
267.89;4.96
