0.62;1.48
0.62;1.48
6.07;1.34
11.53;1.21
16.98;1.10
22.44;0.99
27.89;0.90
33.35;0.81
38.80;0.74
44.26;0.67
49.71;0.60
55.17;0.55
60.62;0.49
66.07;0.45
71.53;0.40
76.98;0.37
82.44;0.33
87.89;0.30
93.35;0.27
98.80;0.25
104.26;0.22
109.71;0.20
115.17;0.18
120.62;0.16
126.07;0.15
131.53;0.13
136.98;0.12
142.44;0.11
147.89;0.10
153.35;0.09
158.80;0.08
164.26;0.07
169.71;0.07
175.17;0.06
180.62;0.05
186.07;0.05
191.53;0.04
196.98;0.04
202.44;0.04
207.89;0.03
213.35;0.03
218.80;0.03
224.26;0.02
229.71;0.02
235.17;0.02
240.62;0.02
246.07;0.02
251.53;0.01
256.98;0.01
262.44;0.01
267.89;0.01
