0.0001;179.8201
0.0011;177.9661
0.0111;161.0304
0.0211;145.7063
0.0311;131.8405
0.0411;119.2943
0.0511;107.9419
0.0611;97.6699
0.0711;88.3754
0.0811;79.9653
0.0911;72.3556
0.1011;65.4701
0.1111;59.2398
0.1211;53.6024
0.1311;48.5014
0.1411;43.8859
0.1511;39.7096
0.1611;35.9307
0.1711;32.5115
0.1811;29.4176
0.1911;26.6181
0.2011;24.0851
0.2111;21.7931
0.2211;19.7192
0.2311;17.8427
0.2411;16.1447
0.2511;14.6083
0.2611;13.2182
0.2711;11.9603
0.2811;10.8221
0.2911;9.7923
0.3011;8.8604
0.3111;8.0172
0.3211;7.2543
0.3311;6.5640
0.3411;5.9393
0.3511;5.3741
0.3611;4.8627
0.3711;4.4000
0.3811;3.9812
0.3911;3.6024
0.4011;3.2596
0.4111;2.9494
0.4211;2.6687
0.4311;2.4147
0.4411;2.1850
0.4511;1.9770
0.4611;1.7889
0.4711;1.6187
0.4811;1.4646
0.4911;1.3252
