0.62;0.99
0.62;0.99
6.07;0.89
11.53;0.81
16.98;0.73
22.44;0.66
27.89;0.60
33.35;0.54
38.80;0.49
44.26;0.44
49.71;0.40
55.17;0.36
60.62;0.33
66.07;0.30
71.53;0.27
76.98;0.24
82.44;0.22
87.89;0.20
93.35;0.18
98.80;0.16
104.26;0.15
109.71;0.13
115.17;0.12
120.62;0.11
126.07;0.10
131.53;0.09
136.98;0.08
142.44;0.07
147.89;0.07
153.35;0.06
158.80;0.05
164.26;0.05
169.71;0.04
175.17;0.04
180.62;0.04
186.07;0.03
191.53;0.03
196.98;0.03
202.44;0.02
207.89;0.02
213.35;0.02
218.80;0.02
224.26;0.02
229.71;0.01
235.17;0.01
240.62;0.01
246.07;0.01
251.53;0.01
256.98;0.01
262.44;0.01
267.89;0.01
