0.62;0.28
0.62;0.28
6.07;2.63
11.53;4.76
16.98;6.69
22.44;8.43
27.89;10.01
33.35;11.43
38.80;12.73
44.26;13.89
49.71;14.95
55.17;15.91
60.62;16.77
66.07;17.56
71.53;18.26
76.98;18.90
82.44;19.48
87.89;20.01
93.35;20.48
98.80;20.91
104.26;21.30
109.71;21.65
115.17;21.97
120.62;22.26
126.07;22.52
131.53;22.76
136.98;22.97
142.44;23.16
147.89;23.34
153.35;23.50
158.80;23.64
164.26;23.77
169.71;23.89
175.17;23.99
180.62;24.09
186.07;24.18
191.53;24.25
196.98;24.32
202.44;24.39
207.89;24.45
213.35;24.50
218.80;24.55
224.26;24.59
229.71;24.63
235.17;24.66
240.62;24.70
246.07;24.73
251.53;24.75
256.98;24.78
262.44;24.80
267.89;24.82
