0.62;2.97
0.62;2.97
6.07;2.68
11.53;2.43
16.98;2.20
22.44;1.99
27.89;1.80
33.35;1.63
38.80;1.47
44.26;1.33
49.71;1.21
55.17;1.09
60.62;0.99
66.07;0.89
71.53;0.81
76.98;0.73
82.44;0.66
87.89;0.60
93.35;0.54
98.80;0.49
104.26;0.44
109.71;0.40
115.17;0.36
120.62;0.33
126.07;0.30
131.53;0.27
136.98;0.24
142.44;0.22
147.89;0.20
153.35;0.18
158.80;0.16
164.26;0.15
169.71;0.13
175.17;0.12
180.62;0.11
186.07;0.10
191.53;0.09
196.98;0.08
202.44;0.07
207.89;0.07
213.35;0.06
218.80;0.05
224.26;0.05
229.71;0.04
235.17;0.04
240.62;0.04
246.07;0.03
251.53;0.03
256.98;0.03
262.44;0.02
267.89;0.02
